Compounds,Functional_Used,Functional_Used_Abb,Functional_1,Functional_2,Basis_Set,Basis_Set_Part_1,Basis_Set_Part_2,Total_DFT_Energy (Ha),Total_DFT_Energy (kcal/mol),Thermal Correction to Enthalpy (kcal/mol),Corrected Enthalpy,Formation_Enthalpy,Formation_Energy,Deviation_STD,CPU Time,Wall Time,CPU_Time_Sum,Output_File_Path,Geometry_Angle,Bond_Length
H2,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-1.175482411,-737.6187396,8.436,-729.1827396,,,,1,1.3,0,./B3LYP_B3LYP/6-31+G*_6-31+G*/H2/H2.nwout,,0.74279
N2,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-109.5297803,-68730.26575,5.58,-68724.68575,,,,12,12.9,0,./B3LYP_B3LYP/6-31+G*_6-31+G*/N2/N2.nwout,,1.10512
NH3,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-31+G*_6-31+G*,6-31+G*,6-31+G*,-56.55698667,-35489.67881,24.042,-35465.63681,-9.519824031,-39.83094374,-13.31677097,18.6,19.4,33.6,./B3LYP_B3LYP/6-31+G*_6-31+G*/NH3/NH3.nwout,107.68,1.018
H2,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-1.176631477,-738.339782,8.436,-729.903782,,0,-100,1.1,1.4,0,./B3LYP_B3LYP/6-31+G*_6-311+G*/H2/H2.nwout,,0.74279
N2,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-109.5605642,-68749.58271,5.58,-68744.00271,,0,-100,11.8,12.4,0,./B3LYP_B3LYP/6-31+G*_6-311+G*/N2/N2.nwout,,1.10512
NH3,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-31+G*_6-311+G*,6-31+G*,6-311+G*,-56.57362868,-35500.12172,24.042,-35476.07972,-9.222687289,-38.58772362,-16.02236427,19.1,20,33.8,./B3LYP_B3LYP/6-31+G*_6-311+G*/NH3/NH3.nwout,107.68,1.018
H2,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-1.175482072,-737.6185267,8.348,-729.2705267,,0,-100,1.2,1.5,0,./B3LYP_B3LYP/6-311+G*_6-31+G*/H2/H2.nwout,,0.74208
N2,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-109.5295072,-68730.09436,5.562,-68724.53236,,0,-100,15.2,15.7,0,./B3LYP_B3LYP/6-311+G*_6-31+G*/N2/N2.nwout,,1.09544
NH3,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-311+G*_6-31+G*,6-311+G*,6-31+G*,-56.55694938,-35489.65541,24.152,-35465.50341,-9.331437412,-39.04273413,-15.03213465,28.5,29.5,46.7,./B3LYP_B3LYP/6-311+G*_6-31+G*/NH3/NH3.nwout,108,1.01399
H2,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-1.176631978,-738.3400961,8.348,-729.9920961,,0,-100,1.2,1.5,0,./B3LYP_B3LYP/6-311+G*_6-311+G*/H2/H2.nwout,,0.74208
N2,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-109.5608224,-68749.74476,5.562,-68744.18276,,0,-100,15.3,16,0,./B3LYP_B3LYP/6-311+G*_6-311+G*/N2/N2.nwout,,1.09544
NH3,B3LYP_B3LYP,B3_B3,B3LYP,B3LYP,6-311+G*_6-311+G*,6-311+G*,6-311+G*,-56.57366586,-35500.14505,24.152,-35475.99305,-8.913523095,-37.29418063,-18.83747415,27.9,28.6,46.1,./B3LYP_B3LYP/6-311+G*_6-311+G*/NH3/NH3.nwout,108,1.01399
