filename,ecut,nkpts,alat,energy,Total Energy (eV),Converge (meV),total_force,cpu_time
Si_50_5_10.26.out,50,10,10.26,-93.44922895,-1271.441476,0,0,5.1
Si_50_6_10.26.out,50,16,10.26,-93.45221094,-1271.482048,20.28601954,0,6.9
Si_50_7_10.26.out,50,20,10.26,-93.4532795,-1271.496587,7.269249405,0,8
Si_50_8_10.26.out,50,29,10.26,-93.45368845,-1271.502151,2.78202398,0,10.6
Si_50_9_10.26.out,50,35,10.26,-93.45385279,-1271.504387,1.117979755,0,12.3
Si_50_10_10.26.out,50,47,10.26,-93.45392155,-1271.505322,0.467763709,0,15.6
Si_50_11_10.26.out,50,56,10.26,-93.45395113,-1271.505725,0.201228193,0,18.2
Si_50_12_10.26.out,50,72,10.26,-93.45396422,-1271.505903,0.089049258,0,22.6
Si_50_13_10.26.out,50,84,10.26,-93.45397018,-1271.505984,0.040544964,0,25.9
Si_50_14_10.26.out,50,104,10.26,-93.45397295,-1271.506022,0.018843884,0,31.7
