filename,ecut,nkpts,alat,energy,total_force,Force (meV/angstrom),Force Converge (meV/angstrom)
Si_10_4_10.26.out,10,24,10.26,-93.4166537,0.150311,3864.652599,0
Si_20_4_10.26.out,20,24,10.26,-93.41963943,0.153839,3955.361159,90.70856004
Si_30_4_10.26.out,30,24,10.26,-93.42087406,0.15377,3953.587097,-1.774061974
Si_40_4_10.26.out,40,24,10.26,-93.42104993,0.153827,3955.052626,1.465529456
Si_50_4_10.26.out,50,24,10.26,-93.4210386,0.153907,3957.10951,2.056883448
Si_60_4_10.26.out,60,24,10.26,-93.42104903,0.153905,3957.058088,-0.051422086
Si_70_4_10.26.out,70,24,10.26,-93.4210515,0.153907,3957.10951,0.051422086
Si_80_4_10.26.out,80,24,10.26,-93.4210572,0.153895,3956.800977,-0.308532517
Si_90_4_10.26.out,90,24,10.26,-93.42106088,0.153911,3957.212354,0.41137669
Si_100_4_10.26.out,100,24,10.26,-93.42106368,0.153883,3956.492445,-0.719909207
