filename,ecut,nkpts,alat,energy,total_force
Si_50_10_10.26.out,50.0,282.0,10.26,-93.43551668,0.148296
Si_50_11_10.26.out,50.0,366.0,10.26,-93.43554949,0.148269
Si_50_12_10.26.out,50.0,476.0,10.26,-93.43556435,0.148258
Si_50_13_10.26.out,50.0,595.0,10.26,-93.43557131,0.14825
Si_50_14_10.26.out,50.0,744.0,10.26,-93.43557468,0.148243
Si_50_5_10.26.out,50.0,39.0,10.26,-93.43054416,0.150617
Si_50_6_10.26.out,50.0,68.0,10.26,-93.43369011,0.149247
Si_50_7_10.26.out,50.0,100.0,10.26,-93.43482623,0.14869
Si_50_8_10.26.out,50.0,150.0,10.26,-93.43526418,0.148453
Si_50_9_10.26.out,50.0,205.0,10.26,-93.4354416,0.148346
