filename,ecut (Ry),nkpts,alat,energy,total_force,Force Total (eV/Angstrom),Force Difference (meV/Angstrom)
Si_50_5_10.26.out,50,39,10.26,-93.43054416,0.150617,3.872520178,0
Si_50_6_10.26.out,50,68,10.26,-93.43369011,0.149247,3.837296049,35.22412904
Si_50_7_10.26.out,50,100,10.26,-93.43482623,0.14869,3.822974998,14.321051
Si_50_8_10.26.out,50,150,10.26,-93.43526418,0.148453,3.816881481,6.093517214
Si_50_9_10.26.out,50,205,10.26,-93.4354416,0.148346,3.814130399,2.751081611
Si_50_10_10.26.out,50,282,10.26,-93.43551668,0.148296,3.812844847,1.285552155
Si_50_11_10.26.out,50,366,10.26,-93.43554949,0.148269,3.812150649,0.694198164
Si_50_12_10.26.out,50,476,10.26,-93.43556435,0.148258,3.811867827,0.282821474
Si_50_13_10.26.out,50,595,10.26,-93.43557131,0.14825,3.811662139,0.205688345
Si_50_14_10.26.out,50,744,10.26,-93.43557468,0.148243,3.811482162,0.179977302
