filename,ecut,nkpts,alat,energy,total_force
Si_100_10_10.3.out,100.0,47.0,10.3,-93.45423229,0.0
Si_100_5_10.3.out,100.0,10.0,10.3,-93.44958395,0.0
Si_100_6_10.3.out,100.0,16.0,10.3,-93.4525369,0.0
Si_100_7_10.3.out,100.0,20.0,10.3,-93.45359527,0.0
Si_100_8_10.3.out,100.0,29.0,10.3,-93.45400066,0.0
Si_100_9_10.3.out,100.0,35.0,10.3,-93.4541639,0.0
Si_10_10_10.3.out,10.0,47.0,10.3,-93.44230212,0.0
Si_10_5_10.3.out,10.0,10.0,10.3,-93.43763085,0.0
Si_10_6_10.3.out,10.0,16.0,10.3,-93.44033033,0.0
Si_10_7_10.3.out,10.0,20.0,10.3,-93.44181648,0.0
Si_10_8_10.3.out,10.0,29.0,10.3,-93.44218246,0.0
Si_10_9_10.3.out,10.0,35.0,10.3,-93.44216218,0.0
Si_20_10_10.3.out,20.0,47.0,10.3,-93.45287143,0.0
Si_20_5_10.3.out,20.0,10.0,10.3,-93.44822107,0.0
Si_20_6_10.3.out,20.0,16.0,10.3,-93.45119177,0.0
Si_20_7_10.3.out,20.0,20.0,10.3,-93.45221815,0.0
Si_20_8_10.3.out,20.0,29.0,10.3,-93.45264528,0.0
Si_20_9_10.3.out,20.0,35.0,10.3,-93.45280875,0.0
Si_30_10_10.3.out,30.0,47.0,10.3,-93.45404899,0.0
Si_30_5_10.3.out,30.0,10.0,10.3,-93.44939985,0.0
Si_30_6_10.3.out,30.0,16.0,10.3,-93.45235357,0.0
Si_30_7_10.3.out,30.0,20.0,10.3,-93.45341282,0.0
Si_30_8_10.3.out,30.0,29.0,10.3,-93.45381688,0.0
Si_30_9_10.3.out,30.0,35.0,10.3,-93.45397953,0.0
Si_40_10_10.3.out,40.0,47.0,10.3,-93.45422223,0.0
Si_40_5_10.3.out,40.0,10.0,10.3,-93.44957394,0.0
Si_40_6_10.3.out,40.0,16.0,10.3,-93.45252684,0.0
Si_40_7_10.3.out,40.0,20.0,10.3,-93.45358524,0.0
Si_40_8_10.3.out,40.0,29.0,10.3,-93.45399061,0.0
Si_40_9_10.3.out,40.0,35.0,10.3,-93.45415383,0.0
Si_50_10_10.3.out,50.0,47.0,10.3,-93.45421203,0.0
Si_50_5_10.3.out,50.0,10.0,10.3,-93.44956342,0.0
Si_50_6_10.3.out,50.0,16.0,10.3,-93.45251669,0.0
Si_50_7_10.3.out,50.0,20.0,10.3,-93.45357502,0.0
Si_50_8_10.3.out,50.0,29.0,10.3,-93.45398043,0.0
Si_50_9_10.3.out,50.0,35.0,10.3,-93.45414364,0.0
Si_60_10_10.3.out,60.0,47.0,10.3,-93.45422086,0.0
Si_60_5_10.3.out,60.0,10.0,10.3,-93.44957244,0.0
Si_60_6_10.3.out,60.0,16.0,10.3,-93.45252542,0.0
Si_60_7_10.3.out,60.0,20.0,10.3,-93.45358381,0.0
Si_60_8_10.3.out,60.0,29.0,10.3,-93.45398919,0.0
Si_60_9_10.3.out,60.0,35.0,10.3,-93.45415246,0.0
Si_70_10_10.3.out,70.0,47.0,10.3,-93.45422234,0.0
Si_70_5_10.3.out,70.0,10.0,10.3,-93.44957391,0.0
Si_70_6_10.3.out,70.0,16.0,10.3,-93.4525269,0.0
Si_70_7_10.3.out,70.0,20.0,10.3,-93.45358529,0.0
Si_70_8_10.3.out,70.0,29.0,10.3,-93.45399069,0.0
Si_70_9_10.3.out,70.0,35.0,10.3,-93.45415396,0.0
Si_80_10_10.3.out,80.0,47.0,10.3,-93.45422676,0.0
Si_80_5_10.3.out,80.0,10.0,10.3,-93.44957843,0.0
Si_80_6_10.3.out,80.0,16.0,10.3,-93.45253138,0.0
Si_80_7_10.3.out,80.0,20.0,10.3,-93.45358973,0.0
Si_80_8_10.3.out,80.0,29.0,10.3,-93.45399511,0.0
Si_80_9_10.3.out,80.0,35.0,10.3,-93.45415838,0.0
Si_90_10_10.3.out,90.0,47.0,10.3,-93.45422973,0.0
Si_90_5_10.3.out,90.0,10.0,10.3,-93.44958196,0.0
Si_90_6_10.3.out,90.0,16.0,10.3,-93.45253433,0.0
Si_90_7_10.3.out,90.0,20.0,10.3,-93.4535927,0.0
Si_90_8_10.3.out,90.0,29.0,10.3,-93.45399808,0.0
Si_90_9_10.3.out,90.0,35.0,10.3,-93.45416134,0.0
