filename(1026),ecut(1026),nkpts(1026),alat(1026),energy(1026),filename(1030),ecut(1030),nkpts(1030),alat(1030),energy(1030),energy_difference (meV/atom)
Si_10_5_10.26.out,10,10,10.26,-93.44309151,Si_10_5_10.3.out,10,10,10.3,-93.43763085,-37.14803049
Si_10_6_10.26.out,10,16,10.26,-93.44571613,Si_10_6_10.3.out,10,16,10.3,-93.44033033,-36.63876941
Si_10_7_10.26.out,10,20,10.26,-93.44701865,Si_10_7_10.3.out,10,20,10.3,-93.44181648,-35.38956275
Si_10_8_10.26.out,10,29,10.26,-93.44744062,Si_10_8_10.3.out,10,29,10.3,-93.44218246,-35.77045412
Si_10_9_10.26.out,10,35,10.26,-93.44755748,Si_10_9_10.3.out,10,35,10.3,-93.44216218,-36.70339645
Si_10_10_10.26.out,10,47,10.26,-93.44769237,Si_10_10_10.3.out,10,47,10.3,-93.44230212,-36.66904208
Si_20_5_10.26.out,20,10,10.26,-93.44784985,Si_20_5_10.3.out,20,10,10.3,-93.44822107,2.525352591
Si_20_6_10.26.out,20,16,10.26,-93.45078549,Si_20_6_10.3.out,20,16,10.3,-93.45119177,2.76386038
Si_20_7_10.26.out,20,20,10.26,-93.45188182,Si_20_7_10.3.out,20,20,10.3,-93.45221815,2.288001284
Si_20_8_10.26.out,20,29,10.26,-93.45229053,Si_20_8_10.3.out,20,29,10.3,-93.45264528,2.413309713
Si_20_9_10.26.out,20,35,10.26,-93.45244395,Si_20_9_10.3.out,20,35,10.3,-93.45280875,2.481678317
Si_20_10_10.26.out,20,47,10.26,-93.45252449,Si_20_10_10.3.out,20,47,10.3,-93.45287143,2.360179483
Si_30_5_10.26.out,30,10,10.26,-93.44906422,Si_30_5_10.3.out,30,10,10.3,-93.44939985,2.283239292
Si_30_6_10.26.out,30,16,10.26,-93.45204589,Si_30_6_10.3.out,30,16,10.3,-93.45235357,2.093099739
Si_30_7_10.26.out,30,20,10.26,-93.45311555,Si_30_7_10.3.out,30,20,10.3,-93.45341282,2.022282109
Si_30_8_10.26.out,30,29,10.26,-93.4535248,Si_30_8_10.3.out,30,29,10.3,-93.45381688,1.986975337
Si_30_9_10.26.out,30,35,10.26,-93.45368893,Si_30_9_10.3.out,30,35,10.3,-93.45397953,1.976907125
Si_30_10_10.26.out,30,47,10.26,-93.45375834,Si_30_10_10.3.out,30,47,10.3,-93.45404899,1.977247267
Si_40_5_10.26.out,40,10,10.26,-93.44923826,Si_40_5_10.3.out,40,10,10.3,-93.44957394,2.283579434
Si_40_6_10.26.out,40,16,10.26,-93.4522208,Si_40_6_10.3.out,40,16,10.3,-93.45252684,2.081943071
Si_40_7_10.26.out,40,20,10.26,-93.45328931,Si_40_7_10.3.out,40,20,10.3,-93.45358524,2.013166295
Si_40_8_10.26.out,40,29,10.26,-93.45369814,Si_40_8_10.3.out,40,29,10.3,-93.45399061,1.989628447
Si_40_9_10.26.out,40,35,10.26,-93.4538625,Si_40_9_10.3.out,40,35,10.3,-93.45415383,1.981873202
Si_40_10_10.26.out,40,47,10.26,-93.45393123,Si_40_10_10.3.out,40,47,10.3,-93.45422223,1.979628263
Si_50_5_10.26.out,50,10,10.26,-93.44922895,Si_50_5_10.3.out,50,10,10.3,-93.44956342,2.27534799
Si_50_6_10.26.out,50,16,10.26,-93.45221094,Si_50_6_10.3.out,50,16,10.3,-93.45251669,2.079970245
Si_50_7_10.26.out,50,20,10.26,-93.4532795,Si_50_7_10.3.out,50,20,10.3,-93.45357502,2.010377128
Si_50_8_10.26.out,50,29,10.26,-93.45368845,Si_50_8_10.3.out,50,29,10.3,-93.45398043,1.986295052
Si_50_9_10.26.out,50,35,10.26,-93.45385279,Si_50_9_10.3.out,50,35,10.3,-93.45414364,1.978607836
Si_50_10_10.26.out,50,47,10.26,-93.45392155,Si_50_10_10.3.out,50,47,10.3,-93.45421203,1.976090783
Si_60_5_10.26.out,60,10,10.26,-93.44923862,Si_60_5_10.3.out,60,10,10.3,-93.44957244,2.27092614
Si_60_6_10.26.out,60,16,10.26,-93.45222074,Si_60_6_10.3.out,60,16,10.3,-93.45252542,2.0726912
Si_60_7_10.26.out,60,20,10.26,-93.45328926,Si_60_7_10.3.out,60,20,10.3,-93.45358381,2.003778367
Si_60_8_10.26.out,60,29,10.26,-93.4536981,Si_60_8_10.3.out,60,29,10.3,-93.45398919,1.980240519
Si_60_9_10.26.out,60,35,10.26,-93.45386249,Si_60_9_10.3.out,60,35,10.3,-93.45415246,1.972621331
Si_60_10_10.26.out,60,47,10.26,-93.45393122,Si_60_10_10.3.out,60,47,10.3,-93.45422086,1.970376392
Si_70_5_10.26.out,70,10,10.26,-93.44924067,Si_70_5_10.3.out,70,10,10.3,-93.44957391,2.266980489
Si_70_6_10.26.out,70,16,10.26,-93.45222275,Si_70_6_10.3.out,70,16,10.3,-93.4525269,2.069085691
Si_70_7_10.26.out,70,20,10.26,-93.45329127,Si_70_7_10.3.out,70,20,10.3,-93.45358529,2.000172859
Si_70_8_10.26.out,70,29,10.26,-93.4537001,Si_70_8_10.3.out,70,29,10.3,-93.45399069,1.976839096
Si_70_9_10.26.out,70,35,10.26,-93.45386448,Si_70_9_10.3.out,70,35,10.3,-93.45415396,1.969287937
Si_70_10_10.26.out,70,47,10.26,-93.45393322,Si_70_10_10.3.out,70,47,10.3,-93.45422234,1.966838912
Si_80_5_10.26.out,80,10,10.26,-93.44924494,Si_80_5_10.3.out,80,10,10.3,-93.44957843,2.268681201
Si_80_6_10.26.out,80,16,10.26,-93.45222749,Si_80_6_10.3.out,80,16,10.3,-93.45253138,2.067316951
Si_80_7_10.26.out,80,20,10.26,-93.45329601,Si_80_7_10.3.out,80,20,10.3,-93.45358973,1.998132005
Si_80_8_10.26.out,80,29,10.26,-93.45370481,Si_80_8_10.3.out,80,29,10.3,-93.45399511,1.974866271
Si_80_9_10.26.out,80,35,10.26,-93.45386919,Si_80_9_10.3.out,80,35,10.3,-93.45415838,1.967315111
Si_80_10_10.26.out,80,47,10.26,-93.45393791,Si_80_10_10.3.out,80,47,10.3,-93.45422676,1.965002144
Si_90_5_10.26.out,90,10,10.26,-93.44924852,Si_90_5_10.3.out,90,10,10.3,-93.44958196,2.268341059
Si_90_6_10.26.out,90,16,10.26,-93.45223058,Si_90_6_10.3.out,90,16,10.3,-93.45253433,2.066364553
Si_90_7_10.26.out,90,20,10.26,-93.45329906,Si_90_7_10.3.out,90,20,10.3,-93.4535927,1.997587777
