alat,energy
9.5,-93.39080658
10,-93.44567495
10.1,-93.45019141
10.2,-93.4529629
10.22,-93.45332164
10.24,-93.45361827
10.26,-93.45385279
10.28,-93.4540271
10.3,-93.45414364
10.31,-93.4541795
10.32,-93.45420189
10.33,-93.45420912
10.34,-93.45420233
10.35,-93.45418158
10.36,-93.45414696
10.37,-93.45409909
10.38,-93.45403731
10.39,-93.45396145
10.4,-93.45387386
10.42,-93.45365702
10.44,-93.45338991
10.46,-93.45307143
10.48,-93.45270368
10.5,-93.45228713
10.7,-93.44566093
10.75,-93.44336875
