filename,ecut,nkpts,alat,energy,total_force,cpu_time
Si_50_9_9.5.out,50,35,9.5,-89.24234759,0,2.3
Si_50_9_10.out,50,35,10,-89.2859421,0,3.2
Si_50_9_10.05.out,50,35,10.05,-89.28741556,0,3.2
Si_50_9_10.1.out,50,35,10.1,-89.2884506,0,4.6
Si_50_9_10.15.out,50,35,10.15,-89.28906719,0,4.7
Si_50_9_10.16.out,50,35,10.16,-89.28914214,0,4.6
Si_50_9_10.17.out,50,35,10.17,-89.28920129,0,4.6
Si_50_9_10.18.out,50,35,10.18,-89.28924486,0,4.6
Si_50_9_10.19.out,50,35,10.19,-89.28927369,0,4.6
Si_50_9_10.2.out,50,35,10.2,-89.28928651,0,4.6
Si_50_9_10.21.out,50,35,10.21,-89.28928835,0,4.7
Si_50_9_10.22.out,50,35,10.22,-89.28927096,0,4.8
Si_50_9_10.23.out,50,35,10.23,-89.2892386,0,4.8
Si_50_9_10.24.out,50,35,10.24,-89.28919153,0,4.8
Si_50_9_10.25.out,50,35,10.25,-89.2891299,0,4.8
Si_50_9_10.26.out,50,35,10.26,-89.28905376,0,4.8
Si_50_9_10.28.out,50,35,10.28,-89.28886299,0,4.8
Si_50_9_10.3.out,50,35,10.3,-89.28861168,0,4.8
Si_50_9_10.32.out,50,35,10.32,-89.28830533,0,4.8
Si_50_9_10.34.out,50,35,10.34,-89.28794496,0,4.8
Si_50_9_10.37.out,50,35,10.37,-89.28730546,0,4.8
Si_50_9_10.4.out,50,35,10.4,-89.28655032,0,4.8
Si_50_9_10.44.out,50,35,10.44,-89.28537192,0,4.8
Si_50_9_10.48.out,50,35,10.48,-89.28399978,0,4.8
Si_50_9_10.5.out,50,35,10.5,-89.28324449,0,4.9
