filename,ecut,nkpts,alat,energy,total_force,unit_cell volume,cpu_time
Fe_bcc_5.15_11.out,50.0,112.0,5.15,-329.25372616,0.0,68.2954,18.72
Fe_bcc_5.25_11.out,50.0,112.0,5.25,-329.26002826,0.0,72.3516,17.93
Fe_bcc_5.2_11.out,50.0,112.0,5.2,-329.25751769,0.0,70.304,23.53
Fe_bcc_5.31_11.out,50.0,112.0,5.31,-329.26195949,0.0,74.8606,20.03
Fe_bcc_5.32_11.out,50.0,112.0,5.32,-329.26216684,0.0,75.2844,17.82
Fe_bcc_5.33_11.out,50.0,112.0,5.33,-329.26234781,0.0,75.7097,19.5
Fe_bcc_5.34_11.out,50.0,112.0,5.34,-329.26234767,0.0,76.1367,19.22
Fe_bcc_5.35_11.out,50.0,112.0,5.35,-329.26245442,0.0,76.5652,16.36
Fe_bcc_5.36_11.out,50.0,112.0,5.36,-329.26242309,0.0,76.9953,16.35
Fe_bcc_5.37_11.out,50.0,112.0,5.37,-329.26252586,0.0,77.4271,19.37
Fe_bcc_5.38_11.out,50.0,112.0,5.38,-329.26250216,0.0,77.8604,16.48
Fe_bcc_5.39_11.out,50.0,112.0,5.39,-329.26242581,0.0,78.2954,18.25
Fe_bcc_5.3_11.out,50.0,112.0,5.3,-329.26178633,0.0,74.4385,19.41
Fe_bcc_5.45_11.out,50.0,112.0,5.45,-329.26115265,0.0,80.9393,21.73
Fe_bcc_5.4_11.out,50.0,112.0,5.4,-329.26241099,0.0,78.732,19.35
Fe_bcc_5.55_11.out,50.0,112.0,5.55,-329.2574733,0.0,85.4769,36.09
Fe_bcc_5.5_11.out,50.0,112.0,5.5,-329.25939805,0.0,83.1875,26.96
