filename,ecut,nkpts,alat_1,alat_3,energy,cpu_time,energy per atom 
Fe_HCP_5.38_172_6_3.out,50,28,5.38,1.72,-658.4196215,88.3,-329.2098108
Fe_HCP_5.38_172_7_4.out,50,48,5.38,1.72,-658.422234,95.3,-329.211117
Fe_HCP_5.38_172_8_4.out,50,60,5.38,1.72,-658.4219217,155.5,-329.2109609
Fe_HCP_5.38_172_9_5.out,50,72,5.38,1.72,-658.4223478,191.7,-329.2111739
Fe_HCP_5.38_172_10_5.out,50,84,5.38,1.72,-658.4220113,189.2,-329.2110056
Fe_HCP_5.38_172_11_6.out,50,128,5.38,1.72,-658.4220379,264.7,-329.2110189
Fe_HCP_5.39_172_6_3.out,50,28,5.39,1.72,-658.4175825,82.6,-329.2087912
Fe_HCP_5.39_172_7_4.out,50,48,5.39,1.72,-658.4203039,139.2,-329.210152
Fe_HCP_5.39_172_8_4.out,50,60,5.39,1.72,-658.4198623,157.5,-329.2099311
Fe_HCP_5.39_172_9_5.out,50,72,5.39,1.72,-658.4203619,158.4,-329.2101809
Fe_HCP_5.39_172_10_5.out,50,84,5.39,1.72,-658.4199773,156.7,-329.2099887
Fe_HCP_5.39_172_11_6.out,50,128,5.39,1.72,-658.4200739,260.7,-329.210037
Fe_HCP_5.4_172_6_3.out,50,28,5.4,1.72,-658.4147073,88.3,-329.2073536
Fe_HCP_5.4_172_7_4.out,50,48,5.4,1.72,-658.417624,97.5,-329.208812
Fe_HCP_5.4_172_8_4.out,50,60,5.4,1.72,-658.4170949,138.6,-329.2085474
Fe_HCP_5.4_172_9_5.out,50,72,5.4,1.72,-658.4177571,149.3,-329.2088785
Fe_HCP_5.4_172_10_5.out,50,84,5.4,1.72,-658.4171867,158.7,-329.2085933
Fe_HCP_5.4_172_11_6.out,50,128,5.4,1.72,-658.4173592,370.8,-329.2086796
Fe_HCP_5.41_172_6_3.out,50,28,5.41,1.72,-658.4126875,66.8,-329.2063437
Fe_HCP_5.41_172_7_4.out,50,48,5.41,1.72,-658.415657,155.1,-329.2078285
Fe_HCP_5.41_172_8_4.out,50,60,5.41,1.72,-658.4150823,131.5,-329.2075412
Fe_HCP_5.41_172_9_5.out,50,72,5.41,1.72,-658.415772,157.4,-329.207886
Fe_HCP_5.41_172_10_5.out,50,84,5.41,1.72,-658.415171,162.9,-329.2075855
Fe_HCP_5.41_172_11_6.out,50,128,5.41,1.72,-658.415324,207.8,-329.207662
